P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
ABQ-S	BOU-S	BOU-C	0.00441795	0.0786953	0.937275	0.00114559	344.529	32.1007	31.8183
GUN-F	BOU-C	ABQ-S	0.00672726	0.104372	0.916874	0.00186471	180.246	52.6703	51.9664
LOG-S	ABQ-S	BOU-C	0.059806	1.12285	0.261501	0.021784	236.586	48.0143	42.5953
BOU-C	MAL-C	ABQ-S	0.0318657	0.501718	0.615866	0.00920723	176.775	56.2035	52.7321
MAL-M	BOU-C	ABQ-S	0.175085	2.77279	0.00555775	0.0581458	107.338	76.3431	53.5932
BOU-C	MOB-C	ABQ-S	0.124012	2.02751	0.0426099	0.0370271	168.836	62.7858	48.9315
ABQ-S	MOB-G	BOU-C	0.00218403	0.0395897	0.96842	0.00116874	116.455	64.7903	64.5079
MOB-S	ABQ-S	BOU-C	0.00249646	0.0420943	0.966424	0.000884867	237.975	43.2275	43.0122
BOU-C	MTB-F	ABQ-S	0.0784405	1.49583	0.134697	0.0238456	155.089	61.2049	52.3014
PAS-C	BOU-C	ABQ-S	0.0472401	0.843601	0.398892	0.0126458	198.699	53.549	48.7179
BOU-C	ABQ-S	REN-C	0.0382457	0.471436	0.637329	0.00718374	149.813	45.8458	42.4682
BOU-C	ABQ-S	REN-HC	0.0909209	1.20029	0.230026	0.0190875	147.153	50.6585	42.2145
REN-HS	ABQ-S	BOU-C	0.0582271	0.977295	0.328423	0.0252612	188.718	57.2577	50.9567
ABQ-S	REN-S	BOU-C	0.0194311	0.303679	0.761372	0.00817897	192.86	52.5771	50.5727
BOU-C	RGG-C	ABQ-S	0.0508043	0.993371	0.320529	0.0152771	178.454	59.6184	53.8535
RGG-S	ABQ-S	BOU-C	0.0213288	0.339735	0.734056	0.00578845	335.203	34.044	32.6221
SLV-F	BOU-C	ABQ-S	0.0341751	0.558737	0.576341	0.00943527	196.282	54.1352	50.5573
SLV-M	BOU-C	ABQ-S	0.175545	2.7287	0.00635852	0.0586693	108.759	75.8971	53.2295
ABQ-S	BOU-C	SLV-O	0.0235253	0.171186	0.864078	0.000609668	170.959	11.4815	10.9537
SNM-C	BOU-C	ABQ-S	0.0277558	0.43671	0.662322	0.00775884	173.784	53.9387	51.0254
SNM-M	BOU-C	ABQ-S	0.200617	3.01115	0.00260262	0.0665041	106.874	77.8974	51.8649
SNM-S	ABQ-S	BOU-C	0.0507894	0.849362	0.39568	0.013443	323.451	34.5808	31.2379
BOU-C	TES-C	ABQ-S	0.0960573	1.87896	0.0602497	0.0307698	173.986	65.4979	54.0175
TES-M	BOU-C	ABQ-S	0.203107	3.17873	0.00147922	0.0671219	107.536	78.0234	51.6797
TES-S	ABQ-S	BOU-C	0.00528316	0.100584	0.919881	0.00133229	335.882	31.1424	30.8151
TRE-F	BOU-C	ABQ-S	0.0250668	0.409707	0.682021	0.00667184	188.145	51.8014	49.2679
TRQ-F	BOU-C	ABQ-S	0.0879633	1.43146	0.152298	0.0244113	193.429	58.2161	48.8024
ABQ-S	BOU-S	GUN-F	0.0605599	1.07957	0.280335	0.0147552	345.609	34.7615	30.7916
BOU-S	ABQ-S	LOG-S	0.10491	2.94847	0.00319347	0.0993792	183.849	60.7172	49.1871
ABQ-S	BOU-S	MAL-C	0.0658852	1.2102	0.226201	0.0165866	343.011	35.6512	31.2438
BOU-S	ABQ-S	MAL-M	0.0841552	1.19571	0.231811	0.0104275	359.917	29.4039	24.8391
ABQ-S	BOU-S	MOB-C	0.0364457	0.679958	0.496531	0.00968359	331.347	34.7245	32.2824
BOU-S	ABQ-S	MOB-G	0.0433129	0.90033	0.367944	0.0128511	293.059	37.0798	34.0011
BOU-S	ABQ-S	MOB-S	0.119821	3.34203	0.000831673	0.120392	181.072	62.9978	49.5163
ABQ-S	BOU-S	MTB-F	0.055721	1.0005	0.317066	0.0153996	333.398	33.5949	30.0486
ABQ-S	BOU-S	PAS-C	0.00186639	0.0339463	0.97292	0.000469571	351.934	32.924	32.8013
BOU-S	ABQ-S	REN-C	0.116131	1.93018	0.0535843	0.0111162	419.834	25.5844	20.2604
BOU-S	ABQ-S	REN-HC	0.10356	1.59376	0.11099	0.0109351	417.307	25.9037	21.042
BOU-S	ABQ-S	REN-HS	0.0817934	2.03542	0.0418086	0.0580888	230.608	49.9341	42.3831
BOU-S	ABQ-S	REN-S	0.0935169	2.42831	0.0151693	0.0625399	223.041	51.4153	42.6213
ABQ-S	BOU-S	RGG-C	0.0551294	0.970211	0.331941	0.0147955	340.824	34.6674	31.0447
BOU-S	ABQ-S	RGG-S	0.0810677	2.72188	0.00649122	0.191105	99.0434	87.1585	74.0867
ABQ-S	BOU-S	SLV-F	0.0218663	0.386313	0.699265	0.00441994	350.884	34.1836	32.7207
BOU-S	ABQ-S	SLV-M	0.0467004	0.662441	0.507689	0.00617198	353.201	27.809	25.3275
BOU-S	ABQ-S	SLV-O	0.150295	1.66838	0.0952396	0.00219807	255.192	7.33169	5.4158
ABQ-S	BOU-S	SNM-C	0.0863929	1.5317	0.125597	0.0190306	343.065	34.3483	28.8854
BOU-S	ABQ-S	SNM-M	0.0653993	0.950141	0.342041	0.00806638	359.802	27.9055	24.4795
BOU-S	ABQ-S	SNM-S	0.0876614	2.86723	0.00414088	0.139855	102.424	84.1531	70.5882
ABQ-S	BOU-S	TES-C	0.035681	0.705779	0.480326	0.00907337	332.331	34.9386	32.5312
BOU-S	ABQ-S	TES-M	0.0619041	0.860096	0.389736	0.00766077	359.662	27.9548	24.6956
BOU-S	ABQ-S	TES-S	0.0962993	3.43445	0.00059376	0.242062	94.5655	87.4905	72.1201
ABQ-S	BOU-S	TRE-F	0.0123389	0.227735	0.819852	0.00273436	350.676	33.8047	32.9807
ABQ-S	BOU-S	TRQ-F	0.0259141	0.448454	0.653826	0.00551834	355.369	33.0821	31.4109
LOG-S	ABQ-S	GUN-F	0.0028243	0.0481966	0.96156	0.00096553	236.827	46.0305	45.7712
GUN-F	MAL-C	ABQ-S	0.0389446	0.657505	0.510856	0.00987377	207.62	50.1345	46.376
MAL-M	GUN-F	ABQ-S	0.17783	2.89313	0.00381421	0.057029	115.989	74.7478	52.1768
GUN-F	MOB-C	ABQ-S	0.133582	2.5492	0.010797	0.0354806	197.244	56.8206	43.429
ABQ-S	MOB-G	GUN-F	0.0821073	1.438	0.150434	0.0432373	117.253	74.026	62.7922
ABQ-S	MOB-S	GUN-F	0.0275023	0.466865	0.640597	0.00868129	237.266	43.3276	41.0082
GUN-F	MTB-F	ABQ-S	0.0738629	1.53785	0.124085	0.0195794	184.094	53.4832	46.1258
PAS-C	GUN-F	ABQ-S	0.0406071	0.714714	0.474786	0.00996155	211.358	49.1449	45.3094
GUN-F	ABQ-S	REN-C	0.0840599	1.03546	0.300452	0.0158181	148.917	48.9317	41.3432
GUN-F	ABQ-S	REN-HC	0.10959	1.37249	0.16991	0.0231358	146.443	52.6044	42.2133
REN-HS	ABQ-S	GUN-F	0.0193475	0.321244	0.748026	0.0076712	186.723	54.5789	52.507
ABQ-S	REN-S	GUN-F	0.085216	1.43689	0.15075	0.0324438	189.808	55.3004	46.6156
GUN-F	RGG-C	ABQ-S	0.0590913	1.16807	0.24278	0.0160462	205.094	54.8583	48.7367
ABQ-S	RGG-S	GUN-F	0.0233936	0.392852	0.694429	0.00576119	335.329	33.7587	32.2153
SLV-F	GUN-F	ABQ-S	0.0448073	0.892257	0.372255	0.0094942	236.849	42.2513	38.6274
SLV-M	GUN-F	ABQ-S	0.180956	2.83817	0.00453732	0.0574979	118.521	73.2559	50.8061
GUN-F	ABQ-S	SLV-O	0.0253588	0.182242	0.855393	0.000702749	173.91	12.3639	11.7523
SNM-C	GUN-F	ABQ-S	0.0355593	0.703516	0.481734	0.00892799	201.863	49.2606	45.8776
SNM-M	GUN-F	ABQ-S	0.205995	3.07088	0.00213426	0.0652079	116.188	75.593	49.7691
ABQ-S	SNM-S	GUN-F	0.00541477	0.0958182	0.923665	0.00133778	326.735	33.283	32.9245
GUN-F	TES-C	ABQ-S	0.106533	2.14539	0.031922	0.0310693	195.917	60.8971	49.1711
TES-M	GUN-F	ABQ-S	0.215313	3.35823	0.000784428	0.0679873	117.219	76.241	49.2262
TES-S	ABQ-S	GUN-F	0.00280026	0.0519528	0.958566	0.000649327	338.719	31.2547	31.0801
TRE-F	GUN-F	ABQ-S	0.024255	0.445982	0.65561	0.00554361	222.729	44.7882	42.667
TRQ-F	GUN-F	ABQ-S	0.110493	2.19054	0.0284852	0.0230722	232.766	45.0246	36.0648
LOG-S	ABQ-S	MAL-C	0.0624582	0.973336	0.330386	0.020671	235.668	47.9215	42.2873
LOG-S	ABQ-S	MAL-M	0.0667706	1.01444	0.310375	0.011797	249.937	41.2362	36.0741
ABQ-S	LOG-S	MOB-C	0.00376728	0.0603939	0.951842	0.00148541	225.68	49.6475	49.2749
ABQ-S	LOG-S	MOB-G	0.116515	2.08788	0.0368082	0.0555317	182.114	62.3754	49.3569
LOG-S	MOB-S	ABQ-S	0.0322983	0.750095	0.453198	0.0292277	88.7918	86.1552	80.764
ABQ-S	LOG-S	MTB-F	0.0677106	1.16229	0.245118	0.0283343	224.267	51.3395	44.828
LOG-S	ABQ-S	PAS-C	0.11014	2.02593	0.042772	0.0364418	245.916	49.5336	39.7049
LOG-S	ABQ-S	REN-C	0.034573	0.470556	0.637958	0.00433161	310.526	30.4527	28.4174
LOG-S	ABQ-S	REN-HC	0.0153444	0.245327	0.806203	0.00216603	306.642	31.152	30.2104
ABQ-S	LOG-S	REN-HS	0.192509	3.9094	9.25238e-05	0.2343	114.463	86.9534	58.8793
ABQ-S	LOG-S	REN-S	0.144307	2.68161	0.00732697	0.160984	112.641	84.3814	63.099
LOG-S	ABQ-S	RGG-C	0.0416495	0.770212	0.441174	0.0154143	233.307	47.9648	44.1292
RGG-S	ABQ-S	LOG-S	0.085008	2.15699	0.0310061	0.0869762	174.616	62.7435	52.9118
LOG-S	ABQ-S	SLV-F	0.0876768	1.39604	0.162703	0.0231435	243.43	48.732	40.8755
LOG-S	ABQ-S	SLV-M	0.0437683	0.680417	0.496241	0.00824147	245.314	39.4426	36.1347
ABQ-S	LOG-S	SLV-O	0.0326186	0.245484	0.806082	0.000659375	221.462	9.03999	8.46887
LOG-S	ABQ-S	SNM-C	0.0846862	1.43571	0.151085	0.0240909	234.881	45.3332	38.2545
LOG-S	ABQ-S	SNM-M	0.0452643	0.65035	0.515466	0.00808515	250.113	39.5568	36.1308
SNM-S	ABQ-S	LOG-S	0.082195	2.05145	0.0402236	0.0827621	165.055	61.5966	52.2398
LOG-S	ABQ-S	TES-C	0.0637304	1.14761	0.25113	0.0217065	225.324	49.1075	43.2232
LOG-S	ABQ-S	TES-M	0.0380533	0.58134	0.561011	0.00674278	248.536	38.9611	36.1046
TES-S	ABQ-S	LOG-S	0.0607674	1.64415	0.100144	0.0588538	175.004	58.3774	51.6889
LOG-S	ABQ-S	TRE-F	0.102735	1.67567	0.0938024	0.0298932	244.684	50.1407	40.7981
LOG-S	ABQ-S	TRQ-F	0.108466	1.73113	0.0834289	0.0304687	249.487	48.661	39.1378
