Pops	ABQ-S	BOU-C	BOU-S	DRY-N	GUN-F	LOG-S	MAL-C	MAL-M	MAL-N	MOB-C	MOB-G	MOB-S	MTB-F	PAS-C	REN-C	REN-HC	REN-HS	REN-S	RGG-C	RGG-S	SLV-F	SLV-M	SLV-O	SNM-C	SNM-M	SNM-S	TES-C	TES-M	TES-N	TES-S	TRE-F	TRQ-F	
ABQ-S	-	0.59591	0.0078697	0.84378	0.57782	0.29835	0.60805	0.72913	0.83877	0.58757	0.5668	0.30032	0.58922	0.58162	0.73161	0.70491	0.35467	0.36325	0.57157	0.12368	0.65464	0.70719	0.89445	0.63642	0.72895	0.22256	0.59423	0.72487	0.83587	0.078888	0.63758	0.63018	
BOU-C	0.59591	-	0.54736	0.81898	0.24881	0.50699	0.3129	0.59585	0.81592	0.29149	0.48973	0.51069	0.32457	0.18986	0.69201	0.66359	0.43334	0.46173	0.24335	0.56532	0.36118	0.55811	0.88394	0.33972	0.59268	0.59084	0.29228	0.5901	0.80957	0.56576	0.33516	0.32566	
BOU-S	0.0078697	0.54736	-	0.83835	0.52957	0.27626	0.56008	0.69252	0.83312	0.53671	0.5172	0.27088	0.53929	0.53773	0.70825	0.68054	0.31482	0.33023	0.52166	0.062073	0.6119	0.66792	0.88956	0.5863	0.69067	0.14349	0.54674	0.68779	0.82831	0.036807	0.59528	0.58717	
DRY-N	0.84378	0.81898	0.83835	-	0.81647	0.80699	0.81493	0.87624	0.069107	0.81696	0.81322	0.81582	0.81552	0.80966	0.84781	0.83386	0.78875	0.79748	0.80284	0.84008	0.83855	0.87155	0.90283	0.82744	0.87513	0.85442	0.81722	0.87496	0.063542	0.8392	0.83249	0.82987	
GUN-F	0.57782	0.24881	0.52957	0.81647	-	0.48528	0.2116	0.55799	0.81288	0.17657	0.46185	0.49387	0.21816	0.15207	0.67648	0.65024	0.41114	0.43819	0.1334	0.54777	0.23115	0.52007	0.8802	0.24079	0.55728	0.57249	0.19553	0.55211	0.80683	0.54689	0.23001	0.17601	
LOG-S	0.29835	0.50699	0.27626	0.80699	0.48528	-	0.5248	0.65947	0.80446	0.4868	0.45305	0.10613	0.48881	0.49896	0.6712	0.63918	0.15675	0.17915	0.48313	0.3174	0.57853	0.632	0.87677	0.54795	0.65732	0.34522	0.50798	0.65539	0.79616	0.29944	0.56059	0.55406	
MAL-C	0.60805	0.3129	0.56008	0.81493	0.2116	0.5248	-	0.58831	0.81129	0.20424	0.50584	0.53127	0.31335	0.25749	0.69711	0.67192	0.45721	0.47825	0.12511	0.5789	0.33715	0.5522	0.88351	0.068291	0.5912	0.60269	0.15817	0.58026	0.8039	0.57854	0.2972	0.29874	
MAL-M	0.72913	0.59585	0.69252	0.87624	0.55799	0.65947	0.58831	-	0.86933	0.59427	0.66143	0.66619	0.60433	0.52997	0.77624	0.75377	0.59859	0.62065	0.55005	0.70749	0.60796	0.17231	0.91877	0.61972	0.12075	0.72922	0.58487	0.10071	0.86824	0.70701	0.59917	0.57849	
MAL-N	0.83877	0.81592	0.83312	0.069107	0.81288	0.80446	0.81129	0.86933	-	0.81443	0.80998	0.81085	0.81111	0.80621	0.84055	0.82724	0.78616	0.79404	0.80034	0.83565	0.83374	0.86202	0.8985	0.82149	0.86833	0.84899	0.81298	0.86805	-0.00074819	0.83539	0.82703	0.82539	
MOB-C	0.58757	0.29149	0.53671	0.81696	0.17657	0.4868	0.20424	0.59427	0.81443	-	0.45254	0.49802	0.21129	0.27539	0.68896	0.66279	0.41326	0.4368	0.10462	0.55485	0.39434	0.55856	0.879	0.27589	0.59365	0.57647	0.14843	0.58715	0.80681	0.55434	0.35826	0.35351	
MOB-G	0.5668	0.48973	0.5172	0.81322	0.46185	0.45305	0.50584	0.66143	0.80998	0.45254	-	0.46959	0.4382	0.48914	0.69868	0.67165	0.34453	0.38058	0.44964	0.53554	0.57669	0.63148	0.88029	0.53859	0.66065	0.56274	0.48334	0.65379	0.80483	0.53478	0.55037	0.55044	
MOB-S	0.30032	0.51069	0.27088	0.81582	0.49387	0.10613	0.53127	0.66619	0.81085	0.49802	0.46959	-	0.50144	0.50801	0.67978	0.65052	0.18094	0.1966	0.49073	0.31995	0.58563	0.64012	0.88274	0.55624	0.66468	0.34481	0.51798	0.66061	0.80601	0.30111	0.56844	0.56367	
MTB-F	0.58922	0.32457	0.53929	0.81552	0.21816	0.48881	0.31335	0.60433	0.81111	0.21129	0.4382	0.50144	-	0.32381	0.68962	0.66269	0.40681	0.43592	0.22707	0.55598	0.43126	0.57207	0.88507	0.35359	0.60444	0.58066	0.27335	0.59516	0.80548	0.55711	0.40272	0.39564	
PAS-C	0.58162	0.18986	0.53773	0.80966	0.15207	0.49896	0.25749	0.52997	0.80621	0.27539	0.48914	0.50801	0.32381	-	0.67091	0.64323	0.43403	0.45629	0.20812	0.55339	0.13799	0.48767	0.87465	0.26142	0.53765	0.57802	0.2598	0.52691	0.79949	0.55387	0.17649	0.099248	
REN-C	0.73161	0.69201	0.70825	0.84781	0.67648	0.6712	0.69711	0.77624	0.84055	0.68896	0.69868	0.67978	0.68962	0.67091	-	0.030649	0.62591	0.63554	0.67216	0.72522	0.72666	0.75925	0.89885	0.71966	0.77518	0.74443	0.69186	0.77323	0.84244	0.72325	0.7116	0.70649	
REN-HC	0.70491	0.66359	0.68054	0.83386	0.65024	0.63918	0.67192	0.75377	0.82724	0.66279	0.67165	0.65052	0.66269	0.64323	0.030649	-	0.59456	0.60896	0.64459	0.69772	0.69817	0.73389	0.89352	0.69263	0.75075	0.71842	0.66574	0.7487	0.82616	0.69593	0.68651	0.6792	
REN-HS	0.35467	0.43334	0.31482	0.78875	0.41114	0.15675	0.45721	0.59859	0.78616	0.41326	0.34453	0.18094	0.40681	0.43403	0.62591	0.59456	-	0.025875	0.41266	0.34122	0.51426	0.56651	0.86598	0.48178	0.59824	0.3665	0.43638	0.59377	0.7753	0.33138	0.49169	0.48808	
REN-S	0.36325	0.46173	0.33023	0.79748	0.43819	0.17915	0.47825	0.62065	0.79404	0.4368	0.38058	0.1966	0.43592	0.45629	0.63554	0.60896	0.025875	-	0.4339	0.36105	0.53519	0.58687	0.86806	0.50393	0.61936	0.39022	0.46084	0.61281	0.78724	0.34826	0.51261	0.50944	
RGG-C	0.57157	0.24335	0.52166	0.80284	0.1334	0.48313	0.12511	0.55005	0.80034	0.10462	0.44964	0.49073	0.22707	0.20812	0.67216	0.64459	0.41266	0.4339	-	0.5402	0.29736	0.51613	0.87218	0.17466	0.54896	0.56331	0.026985	0.54505	0.79013	0.53909	0.26273	0.26109	
RGG-S	0.12368	0.56532	0.062073	0.84008	0.54777	0.3174	0.5789	0.70749	0.83565	0.55485	0.53554	0.31995	0.55598	0.55339	0.72522	0.69772	0.34122	0.36105	0.5402	-	0.63062	0.68507	0.88847	0.60776	0.7065	0.16494	0.56608	0.70332	0.83045	0.008807	0.61217	0.60545	
SLV-F	0.65464	0.36118	0.6119	0.83855	0.23115	0.57853	0.33715	0.60796	0.83374	0.39434	0.57669	0.58563	0.43126	0.13799	0.72666	0.69817	0.51426	0.53519	0.29736	0.63062	-	0.57079	0.89057	0.33994	0.61709	0.65485	0.35067	0.60871	0.82884	0.6299	0.17736	0.043764	
SLV-M	0.70719	0.55811	0.66792	0.87155	0.52007	0.632	0.5522	0.17231	0.86202	0.55856	0.63148	0.64012	0.57207	0.48767	0.75925	0.73389	0.56651	0.58687	0.51613	0.68507	0.57079	-	0.91304	0.5863	0.22117	0.70991	0.54955	0.18996	0.86157	0.68431	0.54684	0.53379	
SLV-O	0.89445	0.88394	0.88956	0.90283	0.8802	0.87677	0.88351	0.91877	0.8985	0.879	0.88029	0.88274	0.88507	0.87465	0.89885	0.89352	0.86598	0.86806	0.87218	0.88847	0.89057	0.91304	-	0.88986	0.91494	0.90333	0.8834	0.91564	0.89863	0.89432	0.88619	0.88596	
SNM-C	0.63642	0.33972	0.5863	0.82744	0.24079	0.54795	0.068291	0.61972	0.82149	0.27589	0.53859	0.55624	0.35359	0.26142	0.71966	0.69263	0.48178	0.50393	0.17466	0.60776	0.33994	0.5863	0.88986	-	0.62625	0.63353	0.20613	0.61399	0.81525	0.60646	0.29692	0.29207	
SNM-M	0.72895	0.59268	0.69067	0.87513	0.55728	0.65732	0.5912	0.12075	0.86833	0.59365	0.66065	0.66468	0.60444	0.53765	0.77518	0.75075	0.59824	0.61936	0.54896	0.7065	0.61709	0.22117	0.91494	0.62625	-	0.72974	0.58451	0.14143	0.86832	0.70714	0.60528	0.58816	
SNM-S	0.22256	0.59084	0.14349	0.85442	0.57249	0.34522	0.60269	0.72922	0.84899	0.57647	0.56274	0.34481	0.58066	0.57802	0.74443	0.71842	0.3665	0.39022	0.56331	0.16494	0.65485	0.70991	0.90333	0.63353	0.72974	-	0.5899	0.72644	0.84781	0.14756	0.6338	0.6311	
TES-C	0.59423	0.29228	0.54674	0.81722	0.19553	0.50798	0.15817	0.58487	0.81298	0.14843	0.48334	0.51798	0.27335	0.2598	0.69186	0.66574	0.43638	0.46084	0.026985	0.56608	0.35067	0.54955	0.8834	0.20613	0.58451	0.5899	-	0.57929	0.80725	0.56553	0.31634	0.31434	
TES-M	0.72487	0.5901	0.68779	0.87496	0.55211	0.65539	0.58026	0.10071	0.86805	0.58715	0.65379	0.66061	0.59516	0.52691	0.77323	0.7487	0.59377	0.61281	0.54505	0.70332	0.60871	0.18996	0.91564	0.61399	0.14143	0.72644	0.57929	-	0.86793	0.7033	0.59468	0.57803	
TES-N	0.83587	0.80957	0.82831	0.063542	0.80683	0.79616	0.8039	0.86824	-0.00074819	0.80681	0.80483	0.80601	0.80548	0.79949	0.84244	0.82616	0.7753	0.78724	0.79013	0.83045	0.82884	0.86157	0.89863	0.81525	0.86832	0.84781	0.80725	0.86793	-	0.83207	0.82317	0.81983	
TES-S	0.078888	0.56576	0.036807	0.8392	0.54689	0.29944	0.57854	0.70701	0.83539	0.55434	0.53478	0.30111	0.55711	0.55387	0.72325	0.69593	0.33138	0.34826	0.53909	0.008807	0.6299	0.68431	0.89432	0.60646	0.70714	0.14756	0.56553	0.7033	0.83207	-	0.61084	0.60582	
TRE-F	0.63758	0.33516	0.59528	0.83249	0.23001	0.56059	0.2972	0.59917	0.82703	0.35826	0.55037	0.56844	0.40272	0.17649	0.7116	0.68651	0.49169	0.51261	0.26273	0.61217	0.17736	0.54684	0.88619	0.29692	0.60528	0.6338	0.31634	0.59468	0.82317	0.61084	-	0.10969	
TRQ-F	0.63018	0.32566	0.58717	0.82987	0.17601	0.55406	0.29874	0.57849	0.82539	0.35351	0.55044	0.56367	0.39564	0.099248	0.70649	0.6792	0.48808	0.50944	0.26109	0.60545	0.043764	0.53379	0.88596	0.29207	0.58816	0.6311	0.31434	0.57803	0.81983	0.60582	0.10969	-	
