id,pop
ARe_EN_e_02,are
ARe_EN_e_03,are
ARe_EN_e_04,are
ARe_EN_e_05,are
ARe_EN_e_06,are
BCe_EN_e_10,sal
BCe_EN_e_11,sal
BCe_EN_e_12,sal
BCe_EN_e_13,sal
BCe_EN_e_01,sal
BCe_EN_e_02,sal
BCe_EN_e_03,sal
BCe_EN_e_04,sal
BCe_EN_e_05,sal
BCe_EN_e_06,sal
BCe_EN_e_07,sal
BCe_EN_e_08,sal
BCe_EN_e_09,sal
BOe_EN_e_01,iri
BOe_EN_e_02,iri
BOe_EN_e_03,iri
BOe_EN_e_04,iri
BOe_EN_e_05,iri
BOe_EN_e_06,iri
BTe_EN_e_01,ore
BTe_EN_e_02,ore
BTe_EN_e_03,ore
BTe_EN_e_04,ore
BTe_EN_e_05,ore
BTe_EN_e_06,ore
CIe_EN_e_01,gra
CIe_EN_e_02,gra
CIe_EN_e_03,gra
CIe_EN_e_04,gra
CIe_EN_e_05,gra
CSe_EN_e_01,UNK
CSe_EN_e_02,UNK
CSe_EN_e_03,UNK
CSe_EN_e_04,UNK
CSe_EN_e_05,UNK
CSe_EN_e_06,UNK
CVe_EN_e_01,UNK
CVe_EN_e_02,UNK
CVe_EN_e_03,UNK
CVe_EN_e_04,UNK
CVe_EN_e_05,UNK
CVe_EN_e_06,UNK
DMe_EN_e_01,UNK
DMe_EN_e_03,UNK
DMe_EN_e_04,UNK
DMe_EN_e_05,UNK
GOe_EN_e_01,ore
GOe_EN_e_02,ore
GOe_EN_e_03,ore
GOe_EN_e_04,ore
GOe_EN_e_05,ore
GOe_EN_e_06,ore
HLe_EN_e_01,hol
HLe_EN_e_02,hol
HLe_EN_e_03,hol
HLe_EN_e_04,hol
HLe_EN_e_05,hol
JOe_EN_e_02,jun
JOe_EN_e_03,jun
JOe_EN_e_04,jun
JOe_EN_e_05,jun
JOe_EN_e_06,jun
JTe_EN_e_01,jun
JTe_EN_e_02,jun
JTe_EN_e_03,jun
JTe_EN_e_04,jun
JTe_EN_e_05,jun
JTe_EN_e_06,jun
LAe_EN_e_01,lat
LAe_EN_e_02,lat
LAe_EN_e_03,lat
LAe_EN_e_04,lat
LAe_EN_e_05,lat
LAe_EN_e_06,lat
LOe_EN_e_01,big
LOe_EN_e_02,big
LOe_EN_e_03,big
LOe_EN_e_04,big
LOe_EN_e_05,big
LTe_EN_e_04,big
LTe_EN_e_05,big
LTe_EN_e_06,big
NIe_EN_e_01,nit
NIe_EN_e_02,nit
NIe_EN_e_03,nit
NIe_EN_e_04,nit
NIe_EN_e_05,nit
NIe_EN_e_06,nit
OOe_EN_e_01,hol
OOe_EN_e_02,hol
OOe_EN_e_03,hol
OOe_EN_e_04,hol
OOe_EN_e_05,hol
OOe_EN_e_06,hol
OTe_EN_e_01,sal
OTe_EN_e_02,sal
OTe_EN_e_03,sal
OTe_EN_e_04,sal
RSe_EN_e_01,gra
RSe_EN_e_02,gra
RSe_EN_e_04,gra
RSe_EN_e_05,gra
RSe_EN_e_06,gra
RSe_EN_e_07,gra
STe_EN_e_10,tur
STe_EN_e_11,tur
STe_EN_e_12,tur
SJe_EN_e_01,UNK
SJe_EN_e_02,UNK
SJe_EN_e_03,UNK
SJe_EN_e_04,UNK
SJe_EN_e_05,UNK
SJe_EN_e_06,UNK
STe_EN_e_07,tur
STe_EN_e_08,tur
STe_EN_e_09,tur
SLe_EN_e_02,UNK
SLe_EN_e_03,UNK
SLe_EN_e_04,UNK
SLe_EN_e_05,UNK
SLe_EN_e_06,UNK
TOe_EN_e_01,sal
TOe_EN_e_02,sal
TOe_EN_e_03,sal
TOe_EN_e_04,sal
TOe_EN_e_05,sal
TOe_EN_e_06,sal
TUe_EN_e_01,tun
TUe_EN_e_02,tun
TUe_EN_e_03,tun
TUe_EN_e_04,tun
TUe_EN_e_05,tun
TUe_EN_e_06,tun
TUe_EN_e_07,tun
UOe_EN_e_01,spe
UOe_EN_e_03,spe
UOe_EN_e_04,spe
UOe_EN_e_05,spe
UTe_EN_e_01,tur
UTe_EN_e_02,tur
UTe_EN_e_03,tur
UTe_EN_e_04,tur
UTe_EN_e_05,tur
