id,pop,order,
BOU_EN_C_01,_C,1,1
MAL_EN_C_02,_C,2,2
MAL_EN_C_03,_C,3,3
MAL_EN_C_04,_C,4,4
MAL_EN_C_05,_C,5,5
MOB_EN_C_02,_C,6,6
MOB_EN_C_04,_C,7,7
MOB_EN_C_05,_C,8,8
REN_EN_C_02,_C,67,9
RGG_EN_C_01,_C,9,10
RGG_EN_C_04,_C,10,11
RGG_EN_C_05,_C,11,12
RGG_EN_C_06,_C,12,13
RGG_EN_C_07,_C,13,14
TES_EN_C_01,_C,14,15
TES_EN_C_03,_C,15,16
TES_EN_C_05,_C,16,17
TES_EN_C_06,_C,17,18
TES_EN_C_07,_C,18,19
BRG_EN_F_02,_F,19,20
BRG_EN_F_03,_F,32,21
GUN_EN_F_04,_F,20,22
LIM_EN_F_03,_F,33,23
LIM_EN_F_04,_F,34,24
MEE_EN_F_06,_F,35,25
MEE_EN_F_07,_F,36,26
TRE_EN_F_01,_F,21,27
TRE_EN_F_02,_F,22,28
TRE_EN_F_04,_F,23,29
TRE_EN_F_05,_F,24,30
TRE_EN_F_06,_F,25,31
TRQ_EN_F_01,_F,26,32
TRQ_EN_F_04,_F,27,33
TRQ_EN_F_05,_F,28,34
TRQ_EN_F_06,_F,29,35
REN_EN_H_01,_H,68,36
REN_EN_H_03,_H,69,37
REN_EN_H_05,_H,70,38
MAL_EN_M_01,_M,37,39
MAL_EN_M_02,_M,38,40
MAL_EN_M_03,_M,39,41
MAL_EN_M_04,_M,40,42
MAL_EN_M_05,_M,41,43
MAL_EN_M_06,_M,42,44
MAL_EN_M_07,_M,43,45
SLV_EN_M_05,_M,44,46
SLV_EN_M_06,_M,45,47
SNM_EN_M_01,_M,46,48
SNM_EN_M_02,_M,47,49
SNM_EN_M_04,_M,48,50
TES_EN_M_03,_M,49,51
TES_EN_M_04,_M,50,52
TES_EN_M_05,_M,51,53
TES_EN_M_06,_M,52,54
TES_EN_M_07,_M,53,55
DRY_EN_N_02,_N,54,56
DRY_EN_N_03,_N,55,57
DRY_EN_N_04,_N,56,58
DRY_EN_N_05,_N,57,59
DRY_EN_N_06,_N,58,60
DRY_EN_N_07,_N,59,61
MAL_EN_N_05,_N,60,62
TES_EN_N_01,_N,61,63
TES_EN_N_02,_N,62,64
TES_EN_N_03,_N,63,65
TES_EN_N_05,_N,64,66
TES_EN_N_06,_N,65,67
TES_EN_N_07,_N,66,68
ABQ_EN_S_07,_S,80,69
BOU_EN_S_01,_S,81,70
LOG_EN_S_03,_S,82,71
MOB_EN_S_02,_S,76,72
MOB_EN_S_04,_S,77,73
MOB_EN_S_05,_S,78,74
MOB_EN_S_06,_S,79,75
REN_EN_S_01,_S,71,76
REN_EN_S_02,_S,72,77
REN_EN_S_03,_S,73,78
REN_EN_S_04,_S,74,79
REN_EN_S_05,_S,75,80
RGG_EN_S_01,_S,83,81
RGG_EN_S_04,_S,84,82
RGG_EN_S_05,_S,85,83
RGG_EN_S_07,_S,86,84
TES_EN_S_01,_S,87,85
TES_EN_S_02,_S,88,86
TES_EN_S_04,_S,89,87
TES_EN_S_05,_S,90,88
TES_EN_S_07,_S,91,89
PAS_EN_X_04,_X,30,90
PAS_EN_X_07,_X,31,91
