,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
BOU_EN_C_01,-4.646664217,-4.198420417,-2.224738853,0.529346807,-0.14895849,0.123085472,0.217098297,1.59177307,0.532510715,-1.322049888,1.006821501,5.819815673,-2.697856291,-2.995816704,-0.896750022,1.205092694,-2.164000966,4.458179394,-2.54666166,1.21033052,3.007360092,-1.954553958,-1.898463603,-1.492965198,-3.429958676,0.088821072,0.118310752,0.090260922,0.482039476,-3.037046445
MAL_EN_C_02,-4.926202767,-4.645688279,-2.241205115,1.275822672,-0.181298513,-1.685052841,-0.773530841,-0.417344094,-0.563407213,4.731148355,-1.910436323,0.609926165,4.004574573,-1.930672687,-0.850757183,-0.458888817,-0.144528692,0.755834213,0.201554854,0.867327572,-0.966803122,0.256516515,0.447987306,-0.101810014,1.901930082,0.375932934,0.068139992,0.127114635,-0.032638667,0.433535735
MAL_EN_C_03,-5.352027658,-4.571088011,-2.585161351,1.339084036,0.047790389,-1.897530881,-0.888376247,-0.226541089,-0.709039963,4.279143356,-1.14411742,1.963243275,4.943306635,-1.854294822,-0.923069982,-0.559706775,-1.198081374,1.257391026,-0.471195014,-0.062095091,-0.881183392,-0.3083469,-0.107144898,0.107881669,-0.447956996,-0.734222664,-0.253690045,1.106104787,-0.620539629,0.899147622
MAL_EN_C_04,-5.387197629,-4.946900309,-2.204692023,1.268422028,-0.079832897,-1.574445773,-0.997773057,0.175297072,-0.410765024,3.662539918,-1.094921448,-0.684090792,1.361888492,-0.59516394,-0.066140449,0.037926989,-0.052300653,0.612342481,-0.26828006,-0.847703823,-0.999984629,-1.508070421,-0.058997901,0.000899703,-0.425116483,-1.109356117,1.283120693,-0.208023434,0.527517203,-0.91241026
MAL_EN_C_05,-5.436583023,-4.842209492,-2.228987514,1.170568435,-0.166357602,-1.648729634,-1.246742479,-0.47714769,-0.87696028,3.868079576,-1.180027279,0.776381044,4.923485557,-0.479121639,-0.729815517,-0.411352943,-0.246572046,-0.25217982,-0.001270004,-0.443412258,0.040447484,0.221158645,0.128957974,0.205403851,-0.981123151,-0.863623855,-0.036559043,-0.754957553,0.235138099,-1.063165681
MOB_EN_C_02,-4.862515888,-4.103607982,-2.064908439,1.006039489,0.030850487,-0.197330226,-0.509366484,2.035743766,-0.000970684,-0.575725682,-0.150473153,3.39246847,-0.331022609,4.289025821,0.353908612,1.844430894,-0.353401161,2.663401867,2.30725616,1.442961636,-0.354765563,0.632482732,0.909371759,1.272640711,2.299573556,-0.55145329,0.28607012,-0.720822466,0.984734148,0.143318688
MOB_EN_C_04,-3.833247164,-3.56453759,-1.668772878,0.819728547,-0.136510712,-0.103215736,-0.466846098,1.747763417,0.312001166,-0.730881401,0.277967508,2.561885872,-0.588874327,2.578999136,0.15315921,1.613010363,-0.206256032,1.476041869,1.227193955,0.195372394,-0.77548887,0.349260073,0.292579745,0.642767584,0.522808085,-0.078341386,-0.054544495,-0.314808835,-0.122909255,0.625557092
MOB_EN_C_05,-4.238315368,-3.746635002,-1.681688715,0.369801012,0.09578156,-0.024286094,-0.452383268,1.740535297,-0.019599359,-1.234320308,0.251866062,3.936241213,-0.689454873,2.868166046,0.141724848,1.030418467,0.04088401,1.442068497,1.004140511,0.428600531,-0.718774957,0.144047325,0.452174166,1.839923241,1.625410982,-0.524339255,1.030181841,0.740445659,0.110459216,0.431876286
REN_EN_C_02,-2.968697998,3.072439967,1.170771183,-9.024493018,-0.175541045,-0.687238818,-0.48359797,0.036026964,-0.1090279,0.263446799,-0.536901379,0.349407223,0.112229509,-0.493660608,0.351819661,-0.601137306,-4.073960228,-2.704504359,4.644676353,0.66127452,2.033465632,-1.44554242,-1.375692016,0.253059768,-1.154431691,-1.436909267,-0.104310737,-0.930958127,-0.94250173,1.503702759
RGG_EN_C_01,-4.736283607,-4.188656016,-2.073231371,0.862498551,-0.159119672,-1.015360739,-0.307733944,0.607420062,0.062804541,0.569754368,0.360556008,1.772066504,-0.935825808,2.33072755,0.611900409,-0.941190917,0.713594099,-2.100971978,0.176538895,1.537574072,-1.235250157,-0.154921447,0.53940503,1.046784872,-0.040801942,0.547533166,0.038910584,0.370383915,-0.234341193,0.768475658
RGG_EN_C_04,-4.623701955,-4.082239174,-1.937370805,0.688308962,-0.147791616,-1.260235255,-0.074082775,0.083104973,-0.086829656,2.432758347,-0.442742273,1.018942211,-1.99003166,3.715543838,-0.268684402,-1.732957739,0.370827846,-2.23970744,-0.965645393,-1.108733273,1.168134039,1.947539447,-0.609511149,-1.691406246,-0.989288174,1.369907022,-2.265413916,-0.542123538,0.395410208,-1.00659501
RGG_EN_C_05,-4.402173054,-4.38803407,-2.136125661,1.174039553,-0.137996119,-1.464975543,-0.78471031,0.465168834,0.086888915,1.315303658,0.043705805,1.330244312,-0.577107491,1.021370488,-0.235328839,-1.010603023,0.435974384,-0.403717213,-0.230474033,0.635935027,-0.349055444,-0.122978866,0.080666625,-1.659116864,-1.760302642,0.855587068,-0.656066758,0.490153435,-0.754904322,1.702159107
RGG_EN_C_06,-5.126384736,-4.926476595,-2.263981277,0.938177941,-0.172201759,-1.122014991,-1.315185066,1.482821626,0.085856496,0.332670783,0.483164228,0.986839935,-1.149317548,2.988659758,-0.143650441,-1.749766981,-0.027828263,-1.217630303,-1.692380454,-2.759652723,0.207774511,-2.200481866,1.456815135,-0.726757765,-1.243753577,-2.485311861,2.512256961,-0.038295949,-2.297881307,2.298586387
RGG_EN_C_07,-4.542566925,-4.133980698,-1.952476227,0.965883021,-0.28650116,-1.041909744,-0.264810635,-0.425174247,-0.021213301,2.267987498,-0.80256342,0.724853638,-1.517538968,4.003471024,0.072971617,-1.509468089,0.29944079,-2.410332839,-0.722466169,-0.525580119,0.92289823,1.394942136,-0.425965105,-1.75275762,-0.603188422,1.211803823,-1.933706282,-1.008945296,0.464032661,-1.519099145
