,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
BOU_FY_C_01,-6.990092936,4.266246165,-4.477795547,4.64222945,-0.72273034,0.566935,0.572948911,1.335921642,11.47345231,8.722105331,-2.30182819,-1.429881118,-0.333211784,1.425696474,-1.086263227,0.008685153,-0.853687532,1.278509682,1.979616192,0.851727869,-2.691160334,-2.503749506,0.918290523,0.72405782,-3.082547118,-3.334036204,-1.277030062,1.252103721,0.067735047,-0.719140273
BOU_FY_C_02,-7.410892474,4.180572214,-4.324033467,4.439464178,-0.698004818,0.295412483,0.285134427,1.720654512,11.88987362,9.415959895,-2.102343881,-1.719215741,-0.752065959,2.197097935,0.309273469,0.629764226,0.340774953,0.017009127,0.05341885,-0.232281335,-1.922829956,0.106688449,0.021002963,0.488943133,1.40860774,0.469304802,4.071196644,1.185473788,-0.347452725,2.575847607
BOU_FY_C_03,-6.158462173,3.772864304,-3.704136999,3.955676001,-0.610599512,0.024950421,0.344933335,1.665974154,10.68714251,8.632900386,-1.973067183,-0.406693837,-0.230423003,-0.097387679,1.52953085,0.555649795,0.167301245,0.106501418,1.808011706,-0.369975135,-1.220409811,-0.917548422,0.581379762,-0.896289373,2.028757368,1.562496949,0.948776126,-0.733777455,0.494693289,-1.610511383
MAL_FY_C_01,-9.075835259,4.73841835,-6.126505807,5.870706751,-0.780042143,1.031192313,4.481173482,-4.290907518,-6.181118377,3.934267345,-0.722449552,-4.654591191,-0.591638267,-0.3329245,-2.077200312,-0.393079398,-0.133328165,-0.01199696,-0.415014506,0.051858715,0.252347235,-1.097242553,1.132797713,-0.101433454,-3.475838313,-2.257315007,-1.902454406,-0.37416966,0.300093669,-1.761430723
MAL_FY_C_02,-10.0116234,4.799053067,-5.708695184,5.228153606,-0.843609682,-0.284373963,3.509122592,-3.710301972,-5.704602421,4.384942815,-0.789661553,-3.96151955,-0.781707901,-1.563207217,-0.386679538,-0.272633039,-0.225251785,-0.405706365,-0.425420604,0.395656696,1.054355023,1.158190899,-1.832142335,-0.926021628,1.142323359,0.633419127,-2.345587597,-0.85902896,-0.06625217,-1.813652742
MAL_FY_C_03,-9.172287447,4.70264031,-6.202947066,5.912243851,-0.85425291,1.04850514,4.984949629,-4.255735019,-6.282248374,4.298743047,-1.077625919,-5.301876274,-0.85128097,-0.711029105,-0.180403588,-0.587071443,-0.022969163,-0.022149675,-1.440712327,-0.426951936,-0.894314971,-1.559934233,0.931794781,-0.583646472,-2.706290072,-2.181044267,-1.425562679,0.296584941,0.734970595,-1.758748026
MOB_FY_C_01,-6.636384968,4.566492719,-5.749683872,5.323719313,-0.537339785,4.596131991,7.193885937,-2.467236567,2.277352223,-2.919371168,0.297282048,4.383856682,0.051997652,-0.971963486,-8.481167807,-0.443473487,0.664187584,-1.741810515,-4.569519904,-1.313180919,-1.439018755,-0.807441553,1.447224851,-0.398196353,3.069183223,2.8023609,0.228807616,0.453898256,0.667048216,1.369904334
MOB_FY_C_02,-5.95509466,4.21893822,-4.88084176,4.727991516,-0.637743669,3.675915041,5.290025066,-1.931709168,1.34226607,-1.086600102,0.702091681,2.226164708,0.418241573,0.538829023,-4.468054498,-0.058007912,0.15865008,-0.829188899,-2.601497543,-0.573689172,0.153849138,-1.073375421,0.684171111,-0.12003965,0.262995883,0.190386065,0.17372745,0.008998203,0.051172621,-0.764978854
MOB_FY_C_03,-6.75154824,4.713060349,-5.627583085,5.212292172,-0.584528954,4.640536596,6.869494186,-2.929774782,0.833743541,-2.033134095,1.156759582,4.176126816,0.801960772,-0.144893162,-7.292301356,-1.072777216,0.697050821,-1.766329208,-6.182951067,-3.282368736,-1.826250399,-2.052469052,0.283489713,0.209945077,1.610900019,0.833416181,2.649136437,-0.966838586,-1.047317792,0.094356251
PAS_FY_X_01,-10.28056334,4.747588212,-4.575058466,4.058978076,-1.041401032,-3.64599741,-3.857966924,2.259264661,5.29832556,2.80248528,-0.560466595,-0.015202379,0.117011741,-1.403618905,-0.164412496,-0.395323108,0.510665864,-1.544676625,-1.425062907,-0.742240193,2.876375306,2.5937912,-1.502582044,-1.38500669,1.617391783,3.844457213,-4.339436887,-2.69174768,-0.921822657,-0.893386234
PAS_FY_X_02,-10.61864712,4.746673354,-4.279220499,3.472808605,-1.135957735,-4.69832565,-5.361040295,2.218447954,3.531052259,0.081476857,-0.438832984,0.432743113,-0.494148447,-3.509363408,1.833989398,-1.667239652,0.530817595,-3.249128297,-4.589878207,-0.55633712,6.614857553,3.277323246,-0.140418111,0.925013772,-2.066538753,-0.871356469,-2.739024831,0.908556788,0.459920999,0.616829885
PAS_FY_X_03,-9.598551906,4.542353842,-3.721830918,3.405750649,-0.955833436,-4.04440909,-5.61114372,2.48067368,4.359051232,-0.853809011,-0.473870447,0.453070629,-0.480990792,-4.855084173,2.658587601,-1.555105805,1.513532432,-3.165407834,-5.75097145,-0.986953374,5.906549928,2.453145365,-0.498183587,0.886650803,-1.153422781,-1.528172773,-0.163163137,-0.138611133,0.976655515,-1.557391067
RFY_FY_C_01,2.151344484,-3.016231269,26.72919615,15.99018828,-1.771575462,-1.998215353,1.371168191,0.21869816,-0.13229683,-0.049433681,0.338833975,0.118926163,0.675753433,0.014714022,-0.104940199,0.252560648,-0.304926288,0.537965955,-0.096182965,-0.610673327,0.181057132,-0.36837041,-0.66664257,0.39082703,-0.260981236,0.279476144,1.506837254,-0.79639363,0.584155793,-3.89808936
RFY_FY_C_02,2.270552635,-3.040252637,26.40113864,15.85206556,-1.770403,-1.943249544,1.24664702,0.274864542,0.068000608,-0.169106833,0.013257116,0.059109041,0.271569063,-0.062390624,0.141580477,-0.258268141,0.054731811,0.201422044,0.267519022,-0.029560066,-0.099494277,-0.198685351,-0.4354022,0.354819026,-0.126495867,0.157794588,0.822956465,0.099738389,0.139738687,-2.149204362
RFY_FY_C_03,2.446338952,-2.762209585,25.41111699,15.43602425,-1.685255892,-1.692367856,0.803851159,0.01610425,-0.165976924,-0.147010767,0.145393843,0.082186197,0.034889219,0.106905606,-0.214454935,0.074142723,-0.155401937,-0.540920297,0.333164519,-0.695790866,0.688524456,-0.146071904,-0.364396619,-0.634705179,-0.563068317,1.17310743,1.053796149,-0.950101421,0.66912391,-4.517646019
RGG_FY_C_01,-8.819783497,4.68544435,-5.496717489,5.017003735,-0.750711368,1.114905119,3.40662467,-2.057221627,0.026243955,0.348228994,0.494750457,4.869422278,1.013003215,-0.146446345,2.005112908,0.157917627,0.36372265,0.306335996,0.323946234,0.475255243,-0.27295414,-1.360956192,0.00035625,-1.345768458,-1.288845263,1.382022395,-4.919945299,-2.215594082,0.850060277,1.973357898
RGG_FY_C_02,-8.897569038,4.505953635,-5.77255351,5.485170564,-0.727961468,1.224551867,4.62297216,-2.78248632,-1.101118138,0.532508209,0.184296064,4.7126887,0.11940943,0.229931281,3.028644575,0.177550567,-0.580210901,0.584367184,1.228681602,1.00197427,0.290842369,0.860830609,-1.59272533,-1.413429098,-0.856551807,0.738441941,-5.1762404,-4.35111057,-0.243348327,0.108133248
RGG_FY_C_03,-8.449593182,4.888086742,-6.070838035,5.707167927,-0.721124676,2.62806627,6.189958044,-3.480300506,-1.363217761,0.088762603,0.622657429,5.399624056,1.25088609,-0.032114724,1.129738585,-0.574956599,-0.117999679,0.476172234,0.588296771,-0.004972705,-0.634194614,-1.468930793,-0.038146006,0.604915844,-5.122882772,-3.608526241,-0.751851952,2.15270614,0.464333729,-0.229596904
SNM_FY_C_01,-10.01513326,4.952091,-5.985743376,5.353978608,-1.001297897,-1.137702684,2.960633886,-3.618183995,-6.785517755,4.527379782,-0.852755982,-6.110832274,-0.973236153,-0.088841592,0.2622948,-0.074891211,0.477477949,-0.571411886,0.61287942,-0.390004592,0.510718771,1.298056944,-0.65136507,0.036126258,3.066793632,2.511386078,1.20623189,-0.338495128,-0.388772641,1.310623253
SNM_FY_C_02,-6.660394015,3.049259749,-3.226237079,2.874957771,-0.536366531,-1.12979087,1.31195622,-1.838378927,-3.2291444,2.433184892,-0.212137667,-3.1151026,-0.370796063,-0.943815247,1.226917838,-0.23913105,0.002573119,-0.619330799,0.078219873,0.223463891,0.993328641,1.321865986,-0.293592257,0.513636122,3.237739888,1.994658191,0.656538297,0.129398876,-0.270641257,1.114606383
SNM_FY_C_03,-9.529913954,4.825534814,-6.159723353,5.449039703,-0.953627352,-0.394243761,3.230115432,-3.82969353,-6.49395557,4.441250202,-1.169215805,-7.617517852,-1.376632855,-1.420267447,-0.535353509,-0.488932556,0.155013256,-0.733754125,-0.088499005,0.309713637,-0.118237689,-0.219106339,0.632627242,1.587809471,0.993259484,0.41031066,2.524325387,0.898519615,-0.422598125,2.008446284
TES_FY_C_01,-8.702093161,4.520229798,-5.387819939,5.364554041,-0.786945663,1.301707706,5.559658086,-3.716044838,-2.454782708,1.055525145,0.818046727,6.620816303,1.399021007,0.866891503,6.431337577,0.643424519,-0.016640132,0.667694331,2.177936697,1.085707328,0.329378404,0.512887243,0.513204365,0.630045071,0.459298591,-0.271542546,0.802920375,1.039552057,0.123129972,0.625524594
TES_FY_C_02,-8.185005626,4.530453207,-5.300233132,4.716559752,-0.875101192,0.556358367,5.720415321,-3.868349037,-2.424537395,0.793674499,0.988178363,6.525720851,1.258537593,1.455391994,6.827879729,1.226094924,0.394538134,0.176673014,1.090042757,0.629223656,2.603893035,2.32445311,0.707174261,0.511065958,3.790032571,1.669875057,6.548671541,2.689161245,0.360024549,-0.229186863
TES_FY_C_03,-7.840015989,4.53541718,-5.842572078,5.688879302,-0.802029654,3.099716336,6.210852815,-3.914690297,-0.587327257,0.547948282,0.66303503,6.111962402,0.875935847,0.630768577,2.629368284,-0.302830216,0.04790927,0.068143822,-0.137133796,-0.630673711,-0.586793103,0.266238123,-0.456861239,0.514750501,-1.811079103,-2.449491211,0.655598317,0.208032948,-0.93258116,-0.365485323
