"Pop","ID","All","Name","Lat","Long","State","Elevation","Variety","Ssp","Lin","Anc"
"AR",2,"EN_AR_2","Arenaria1",37.17384,-112.61817,"UT",1870,"arenaria","consimilis","green",0.963931
"AR",3,"EN_AR_3","Arenaria1",37.17384,-112.61817,"UT",1870,"arenaria","consimilis","green",0.968045
"AR",4,"EN_AR_4","Arenaria1",37.17384,-112.61817,"UT",1870,"arenaria","consimilis","green",0.986349
"AR",5,"EN_AR_5","Arenaria1",37.17384,-112.61817,"UT",1870,"arenaria","consimilis","green",0.951423
"AR",6,"EN_AR_6","Arenaria1",37.17384,-112.61817,"UT",1870,"arenaria","consimilis","green",0.971685
"BC",10,"EN_BC_10","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999917
"BC",11,"EN_BC_11","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999906
"BC",12,"EN_BC_12","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999912
"BC",13,"EN_BC_13","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999904
"BC",1,"EN_BC_1","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","hybrid",0.242527
"BC",2,"EN_BC_2","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","hybrid",0.245674
"BC",3,"EN_BC_3","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","hybrid",0.24054
"BC",4,"EN_BC_4","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","hybrid",0.251306
"BC",5,"EN_BC_5","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","hybrid",0.252906
"BC",6,"EN_BC_6","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","hybrid",0.236733
"BC",7,"EN_BC_7","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999931
"BC",8,"EN_BC_8","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999823
"BC",9,"EN_BC_9","beaver canyon",38.27982,-112.56807,"UT",1887,"salicifolia","nauseosa","green",0.999898
"BO",1,"EN_BO_1","bud 1",39.14467,-111.75611,"UT",1631,"iridis","nauseosa","green",0.939427
"BO",2,"EN_BO_2","bud 1",39.14467,-111.75611,"UT",1631,"iridis","nauseosa","green",0.987308
"BO",3,"EN_BO_3","bud 1",39.14467,-111.75611,"UT",1631,"iridis","nauseosa","green",0.948214
"BO",4,"EN_BO_4","bud 1",39.14467,-111.75611,"UT",1631,"iridis","nauseosa","green",0.935122
"BO",5,"EN_BO_5","bud 1",39.14467,-111.75611,"UT",1631,"iridis","nauseosa","green",0.948119
"BO",6,"EN_BO_6","bud 1",39.14467,-111.75611,"UT",1631,"iridis","nauseosa","green",0.956545
"BT",1,"EN_BT_1","bud 2",39.02786,-111.74611,"UT",1711,"oreophila","consimilis","green",0.999777
"BT",2,"EN_BT_2","bud 2",39.02786,-111.74611,"UT",1711,"oreophila","consimilis","green",0.999757
"BT",3,"EN_BT_3","bud 2",39.02786,-111.74611,"UT",1711,"oreophila","consimilis","green",0.999644
"BT",4,"EN_BT_4","bud 2",39.02786,-111.74611,"UT",1711,"oreophila","consimilis","green",0.999817
"BT",5,"EN_BT_5","bud 2",39.02786,-111.74611,"UT",1711,"oreophila","consimilis","green",0.99965
"BT",6,"EN_BT_6","bud 2",39.02786,-111.74611,"UT",1711,"oreophila","consimilis","green",0.999816
"CI",1,"EN_CI_1","city",37.11173,-113.56686,"UT",888,"graveolens","nauseosa","green",0.99991
"CI",2,"EN_CI_2","city",37.11173,-113.56686,"UT",888,"graveolens","nauseosa","green",0.99991
"CI",3,"EN_CI_3","city",37.11173,-113.56686,"UT",888,"graveolens","nauseosa","green",0.999913
"CI",4,"EN_CI_4","city",37.11173,-113.56686,"UT",888,"graveolens","nauseosa","green",0.999932
"CI",5,"EN_CI_5","city",37.11173,-113.56686,"UT",888,"graveolens","nauseosa","green",0.999914
"CS",1,"EN_CS_1","CP3-69",37.04314,-112.19856,"UT",1647,"unknown","unknown","green",0.999918
"CS",2,"EN_CS_2","CP3-69",37.04314,-112.19856,"UT",1647,"unknown","unknown","green",0.999916
"CS",3,"EN_CS_3","CP3-69",37.04314,-112.19856,"UT",1647,"unknown","unknown","green",0.999931
"CS",4,"EN_CS_4","CP3-69",37.04314,-112.19856,"UT",1647,"unknown","unknown","green",0.999898
"CS",5,"EN_CS_5","CP3-69",37.04314,-112.19856,"UT",1647,"unknown","unknown","green",0.999908
"CS",6,"EN_CS_6","CP3-69",37.04314,-112.19856,"UT",1647,"unknown","unknown","green",0.999933
"CV",1,"EN_CV_1","CP3-70",37.76715,-113.16933,"UT",1758,"unknown","unknown","hybrid",0.240608
"CV",2,"EN_CV_2","CP3-70",37.76715,-113.16933,"UT",1758,"unknown","unknown","hybrid",0.23054
"CV",3,"EN_CV_3","CP3-70",37.76715,-113.16933,"UT",1758,"unknown","unknown","hybrid",0.205041
"CV",4,"EN_CV_4","CP3-70",37.76715,-113.16933,"UT",1758,"unknown","unknown","hybrid",0.221145
"CV",5,"EN_CV_5","CP3-70",37.76715,-113.16933,"UT",1758,"unknown","unknown","hybrid",0.232532
"CV",6,"EN_CV_6","CP3-70",37.76715,-113.16933,"UT",1758,"unknown","unknown","hybrid",0.235773
"DM",1,"EN_DM_1","7-17-17 Death by Mosquito",39.73112,-111.15585,"UT",2352,"unknown","unknown","green",0.997373
"DM",3,"EN_DM_3","7-17-17 Death by Mosquito",39.73112,-111.15585,"UT",2352,"unknown","unknown","green",0.999089
"DM",4,"EN_DM_4","7-17-17 Death by Mosquito",39.73112,-111.15585,"UT",2352,"unknown","unknown","green",0.999174
"DM",5,"EN_DM_5","7-17-17 Death by Mosquito",39.73112,-111.15585,"UT",2352,"unknown","unknown","green",0.999547
"GO",1,"EN_GO_1","Gallup Oreos",35.50509,-108.82932,"NM",1977,"oreophila","consimilis","green",0.999893
"GO",2,"EN_GO_2","Gallup Oreos",35.50509,-108.82932,"NM",1977,"oreophila","consimilis","green",0.999813
"GO",3,"EN_GO_3","Gallup Oreos",35.50509,-108.82932,"NM",1977,"oreophila","consimilis","green",0.999895
"GO",4,"EN_GO_4","Gallup Oreos",35.50509,-108.82932,"NM",1977,"oreophila","consimilis","green",0.999805
"GO",5,"EN_GO_5","Gallup Oreos",35.50509,-108.82932,"NM",1977,"oreophila","consimilis","green",0.999702
"GO",6,"EN_GO_6","Gallup Oreos",35.50509,-108.82932,"NM",1977,"oreophila","consimilis","green",0.999827
"HL",1,"EN_HL_1","7-17-17 hololeuca",39.99726,-111.31432,"UT",1987,"hololeuca","nauseosa","hybrid",0.343591
"HL",2,"EN_HL_2","7-17-17 hololeuca",39.99726,-111.31432,"UT",1987,"hololeuca","nauseosa","hybrid",0.449011
"HL",3,"EN_HL_3","7-17-17 hololeuca",39.99726,-111.31432,"UT",1987,"hololeuca","nauseosa","hybrid",0.334653
"HL",4,"EN_HL_4","7-17-17 hololeuca",39.99726,-111.31432,"UT",1987,"hololeuca","nauseosa","hybrid",0.677203
"HL",5,"EN_HL_5","7-17-17 hololeuca",39.99726,-111.31432,"UT",1987,"hololeuca","nauseosa","hybrid",0.673123
"JO",2,"EN_JO_2","Juncea1",36.9954,-111.5949,"UT",1249,"juncea","consimilis","green",0.908082
"JO",3,"EN_JO_3","Juncea1",36.9954,-111.5949,"UT",1249,"juncea","consimilis","green",0.87474
"JO",4,"EN_JO_4","Juncea1",36.9954,-111.5949,"UT",1249,"juncea","consimilis","green",0.87851
"JO",5,"EN_JO_5","Juncea1",36.9954,-111.5949,"UT",1249,"juncea","consimilis","green",0.898221
"JO",6,"EN_JO_6","Juncea1",36.9954,-111.5949,"UT",1249,"juncea","consimilis","green",0.908556
"JT",1,"EN_JT_1","Juncea2",35.90452,-111.54766,"AZ",1504,"juncea","consimilis","green",0.899346
"JT",2,"EN_JT_2","Juncea2",35.90452,-111.54766,"AZ",1504,"juncea","consimilis","green",0.888066
"JT",3,"EN_JT_3","Juncea2",35.90452,-111.54766,"AZ",1504,"juncea","consimilis","green",0.881571
"JT",4,"EN_JT_4","Juncea2",35.90452,-111.54766,"AZ",1504,"juncea","consimilis","green",0.883935
"JT",5,"EN_JT_5","Juncea2",35.90452,-111.54766,"AZ",1504,"juncea","consimilis","green",0.890941
"JT",6,"EN_JT_6","Juncea2",35.90452,-111.54766,"AZ",1504,"juncea","consimilis","green",0.889075
