,id,pop
,BOU_EN_C_01,C
,BOU_EN_C_02,C
,BOU_EN_C_03,C
,MAL_EN_C_01,C
,MAL_EN_C_02,C
,MAL_EN_C_03,C
,MAL_EN_C_04,C
,MAL_EN_C_05,C
,MAL_EN_C_06,C
,MOB_EN_C_01,C
,MOB_EN_C_02,C
,MOB_EN_C_03,C
,MOB_EN_C_04,C
,MOB_EN_C_05,C
,MOB_EN_C_06,C
,MOB_EN_C_07,C
,REN_EN_C_01,C
,REN_EN_C_02,C
,REN_EN_C_03,C
,RGG_EN_C_01,C
,RGG_EN_C_03,C
,RGG_EN_C_04,C
,RGG_EN_C_05,C
,RGG_EN_C_06,C
,RGG_EN_C_07,C
,TES_EN_C_01,C
,TES_EN_C_02,C
,TES_EN_C_03,C
,TES_EN_C_04,C
,TES_EN_C_05,C
,TES_EN_C_06,C
,TES_EN_C_07,C
,BRG_EN_F_01,F
,BRG_EN_F_02,F
,BRG_EN_F_03,F
,GUN_EN_F_04,F
,GUN_EN_F_05,F
,GUN_EN_F_07,F
,LIM_EN_F_03,F
,LIM_EN_F_04,F
,MEE_EN_F_04,F
,MEE_EN_F_05,F
,MEE_EN_F_06,F
,MEE_EN_F_07,F
,SLV_EN_F_06,F
,TRE_EN_F_01,F
,TRE_EN_F_02,F
,TRE_EN_F_03,F
,TRE_EN_F_04,F
,TRE_EN_F_05,F
,TRE_EN_F_06,F
,TRE_EN_F_07,F
,TRQ_EN_F_01,F
,TRQ_EN_F_02,F
,TRQ_EN_F_03,F
,TRQ_EN_F_04,F
,TRQ_EN_F_05,F
,TRQ_EN_F_06,F
,TRQ_EN_F_07,F
,MOB_EN_G_01,G
,MOB_EN_G_02,G
,MOB_EN_G_03,G
,MOB_EN_G_05,G
,MOB_EN_G_06,G
,MOB_EN_G_07,G
,REN_EN_H_01,H
,REN_EN_H_03,H
,REN_EN_H_05,H
,REN_EN_H_07,H
,MAL_EN_M_01,M
,MAL_EN_M_02,M
,MAL_EN_M_03,M
,MAL_EN_M_04,M
,MAL_EN_M_05,M
,MAL_EN_M_06,M
,MAL_EN_M_07,M
,SLV_EN_M_01,M
,SLV_EN_M_02,M
,SLV_EN_M_03,M
,SLV_EN_M_04,M
,SLV_EN_M_05,M
,SLV_EN_M_06,M
,SLV_EN_M_07,M
,SNM_EN_M_01,M
,SNM_EN_M_02,M
,SNM_EN_M_03,M
,SNM_EN_M_04,M
,SNM_EN_M_05,M
,SNM_EN_M_07,M
,TES_EN_M_02,M
,TES_EN_M_03,M
,TES_EN_M_04,M
,TES_EN_M_05,M
,TES_EN_M_06,M
,TES_EN_M_07,M
,DRY_EN_N_01,N
,DRY_EN_N_02,N
,DRY_EN_N_03,N
,DRY_EN_N_04,N
,DRY_EN_N_05,N
,DRY_EN_N_06,N
,DRY_EN_N_07,N
,MAL_EN_N_02,N
,MAL_EN_N_03,N
,MAL_EN_N_05,N
,MAL_EN_N_07,N
,TES_EN_N_01,N
,TES_EN_N_02,N
,TES_EN_N_03,N
,TES_EN_N_05,N
,TES_EN_N_06,N
,TES_EN_N_07,N
,SLV_EN_O_01,O
,SLV_EN_O_03,O
,SLV_EN_O_05,O
,SLV_EN_O_07,O
,ABQ_EN_S_03,S
,ABQ_EN_S_04,S
,ABQ_EN_S_07,S
,BOU_EN_S_01,S
,BOU_EN_S_02,S
,BOU_EN_S_03,S
,LOG_EN_S_01,S
,LOG_EN_S_03,S
,LOG_EN_S_06,S
,LOG_EN_S_07,S
,MOB_EN_S_01,S
,MOB_EN_S_02,S
,MOB_EN_S_04,S
,MOB_EN_S_05,S
,MOB_EN_S_06,S
,MOB_EN_S_07,S
,REN_EN_S_01,S
,REN_EN_S_02,S
,REN_EN_S_03,S
,REN_EN_S_04,S
,REN_EN_S_05,S
,REN_EN_S_06,S
,RGG_EN_S_01,S
,RGG_EN_S_02,S
,RGG_EN_S_04,S
,RGG_EN_S_05,S
,RGG_EN_S_06,S
,RGG_EN_S_07,S
,TES_EN_S_01,S
,TES_EN_S_02,S
,TES_EN_S_04,S
,TES_EN_S_05,S
,TES_EN_S_07,S
,PAS_EN_X_01,X
,PAS_EN_X_04,X
,PAS_EN_X_05,X
,PAS_EN_X_07,X
