Isolate,Genotype
ABQ_S,smooth
BOU_C,cotton
BOU_S,smooth
BRG_F,finial
DRY_N,notata
GUN_F,finial
LIM_F,finial
LOG_S,smooth
MAL_C,cotton
MAL_M,marshmallow
MAL_N,notata
MEE_F,finial
MOB_C,cotton
MOB_S,smooth
MOB_G,goober
MTB_F,finial
PAS_F,finial
REN_C,cotton
REN_H,reno
REN_S,smooth
RGG_C,cotton
RGG_S,smooth
SLV_M,marshmallow
SLV_F,finial
SLV_O,opaca
SNM_M,marshmallow
SNM_C,cotton
SNM_S,smooth
TES_C,cotton
TES_M,marshmallow
TES_N,notata
TES_S,smooth
TRE_F,finial
TRQ_F,finial
