Pops,ABQ-S,RGG-S,SNM-S,TES-S,MAL-C,RGG-C,SNM-C,TES-C,MAL-N,TES-N
ABQ-S,-,0.085788,0.16891,0.061497,0.55291,0.51847,0.57859,0.54348,0.80235,0.79801
RGG-S,0.085788,-,0.14525,0.019541,0.53482,0.49764,0.55862,0.52498,0.79907,0.79312
SNM-S,0.16891,0.14525,-,0.13686,0.56275,0.52589,0.59019,0.55246,0.81044,0.80775
TES-S,0.061497,0.019541,0.13686,-,0.53503,0.49839,0.56132,0.52433,0.797,0.79241
MAL-C,0.55291,0.53482,0.56275,0.53503,-,0.10155,0.069921,0.13136,0.77096,0.76466
RGG-C,0.51847,0.49764,0.52589,0.49839,0.10155,-,0.14915,0.026005,0.75875,0.75225
SNM-C,0.57859,0.55862,0.59019,0.56132,0.069921,0.14915,-,0.18147,0.78449,0.77767
TES-C,0.54348,0.52498,0.55246,0.52433,0.13136,0.026005,0.18147,-,0.77451,0.76928
MAL-N,0.80235,0.79907,0.81044,0.797,0.77096,0.75875,0.78449,0.77451,-,0.034341
TES-N,0.79801,0.79312,0.80775,0.79241,0.76466,0.75225,0.77767,0.76928,0.034341,-
